File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-4-98501_div.txt, recall rate: 0.74, precision rate: 0.84 , F-measure: 0.78 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-5-98530_div.txt, recall rate: 0.71, precision rate: 0.82 , F-measure: 0.76 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-5-98566_div.txt, recall rate: 0.70, precision rate: 0.81 , F-measure: 0.75 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-5-98576_div.txt, recall rate: 0.72, precision rate: 0.83 , F-measure: 0.77 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-6-98588_div.txt, recall rate: 0.64, precision rate: 0.79 , F-measure: 0.71 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-6-98590_div.txt, recall rate: 0.77, precision rate: 0.87 , F-measure: 0.82 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-6-98652_div.txt, recall rate: 0.70, precision rate: 0.81 , F-measure: 0.75 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-6-98654_div.txt, recall rate: 0.69, precision rate: 0.80 , F-measure: 0.74 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-6-98655_div.txt, recall rate: 0.64, precision rate: 0.76 , F-measure: 0.69 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-7-98701_div.txt, recall rate: 0.70, precision rate: 0.82 , F-measure: 0.76 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-8-98748_div.txt, recall rate: 0.74, precision rate: 0.84 , F-measure: 0.79 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-8-98766_div.txt, recall rate: 0.72, precision rate: 0.84 , F-measure: 0.77 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-8-98770_div.txt, recall rate: 0.68, precision rate: 0.81 , F-measure: 0.74 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-8-98823_div.txt, recall rate: 0.73, precision rate: 0.83 , F-measure: 0.78 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-8-98847_div.txt, recall rate: 0.72, precision rate: 0.84 , F-measure: 0.78 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-8-98848_div.txt, recall rate: 0.76, precision rate: 0.86 , F-measure: 0.81 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-9-98881_div.txt, recall rate: 0.72, precision rate: 0.84 , F-measure: 0.78 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-9-98895_div.txt, recall rate: 0.69, precision rate: 0.80 , F-measure: 0.74 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-9-98921_div.txt, recall rate: 0.72, precision rate: 0.83 , F-measure: 0.77 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-5-1-100665_div.txt, recall rate: 0.73, precision rate: 0.84 , F-measure: 0.78 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-5-1-100672_div.txt, recall rate: 0.70, precision rate: 0.83 , F-measure: 0.76 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-5-1-100686_div.txt, recall rate: 0.71, precision rate: 0.83 , F-measure: 0.77 
